REF	COMMENT	DESCRIPTION
M846	mata sob	
M849	³adowanie P1	
M850	£ADOWANIE PIECY	
M851	£AD.PON	
M852	£AD.WT	
M853	£AD.SR	
M854	£AD.CZW	
M855	£AD.PT	
M856	£AD.SOB	
M857	³adSzef	
M858	³adNiemcyNorwegi	
M859	³adKsiegowe	
M860	£AD.P1	
M861	lad szatnia	
M862	³adKonferencyjny	
M870	£AD.P2	
M871	£AD.P3	
M872	£AD.P4	
M873	£AD.P6	
M880	nd	
M881	pn	
M882	wt	
M883	sr	
M884	czw	
M885	pt	
M886	sob	
M890	START LICZNIK	
M891	KASUJ LICZNIK	
M892	NADMUCH SZEF	
M893	NADMUCH NIEMCY	
M894	NADMUCH NORWEGIA	
M895	NADMOCH KSIEGOWO	
M896	NADMUCH KONFEREN	
M897	NADMUCH SZATNIA	
M900	BOILER	
M1020	PODL.STAT 1	
M1021	PODL.STAT 2	
M1022	PODL.STAT 3	
M1023	PODL.STAT 4	
M1024	PODL.STAT 5	
M1030	1 START	
M1031	1 AUTO	
M1032	2 START	
M1033	2 AUTO	
M1034	3 START	
M1035	3 AUTO	
M1036	4 START	
M1037	4 AUTO	
M1038	5 START	
M1039	5 AUTO	
M1050	PODL.NIEDZIELA	
M1051	PODL.PONIEDZIALE	
M1052	PODL.WTOREK	
M1053	PODL.SRODA	
M1054	PODL.CZWARTEK	
M1055	PODL.PIATEK	
M1056	PODL.SOBOTA	
M1060	PR1_SEKCJA_1	
M1061	PR1_SEKCJA_2	
M1062	PR1_SEKCJA_3	
M1063	PR1_SEKCJA_4	
M1064	PR1_SEKCJA_5	
M1065	PR2_SEKCJA_1	
M1066	PR2_SEKCJA_2	
M1067	PR2_SEKCJA_3	
M1068	PR2_SEKCJA_4	
M1069	PR2_SEKCJA_5	
M1070	PR3_SEKCJA_1	
M1071	PR3_SEKCJA_2	
M1072	PR3_SEKCJA_3	
M1073	PR3_SEKCJA_4	
M1074	PR3_SEKCJA_5	
M1075	PR4_SEKCJA_1	
M1076	PR4_SEKCJA_2	
M1077	PR4_SEKCJA_3	
M1078	PR4_SEKCJA_4	
M1079	PR4_SEKCJA_5	
M1085	PODL.AUTO.START1	
M1086	PODL.AUTO.START2	
M1087	PODL.AUTO.START3	
M1088	PODL.AUTO.START4	
M1089	PODL.AUTO.START5	
M1095	PODL DZIEN OK	
M1096	START REKA	
M1097	START AUTO	
M1150	GATE DOWN READY	
M1151	GEATE UP READY	
M1152	WNT GATE UP READ	
M1160	BRAMA DOL PANEL	
M1161	BRAMA GORA PANEL	
M1162	BRAMA STOP PANEL	
M1163	WENTYLACJA OTWAR	
M1164	WENTYLACJA DOWN	
M1165	WENTYLACJA UP	
M1166	WENTYLACJA UP ST	
M1199	weekend	
M1200	godzina START	
M1201	minuta START	
M1202	godzina STOP	
M1203	minuta STOP	
M1204	GODZINA START	
M1205	MINUTA START	
M1206	GODZINA STOP	
M1207	MINUTA STOP	
M1208	GODZINA START	
M1209	MINUTA START	
M1210	GODZINA STOP	
M1211	MINUTA STOP	
M1266	wentKonfReka	
M1267	RÊCZNE 1 BIEG	
M1268	RÊCZNE 2 BIEG	
M1269	RÊCZNE 3 BIEG	
M1270	wentWskaznikReka	
M1280	DOWN READY	
M1281	DOWN ON	
M1282	DOWN ON OK	
M1283	DOWN STOP ON	
M1284	CYKL 4	
M1285	CYKL 5	
M1286	CYKL 6	
M1287	CYKL 7	
M1288	UP READY	
M1289	UP ON	
M1290	UP ON OK	
M1291	UP STOP ON	
M1296	WENT UP READY	
M1297	WNT UP 	
M1298	WNT UP OK	
